	buyerid	publisherid	publisher	ppdrevenue	pdrevenue	rev_difference	rev_delta	offer_difference	offer_delta
143	535039	558881	AdRizer2	16.133709	27.431602	11.3	0.7002663181789136	-724121	-0.15814162229686346
154	535039	560772	Invaluable	10.019769999999996	24.049215000000004	14.03	1.4001763513533758	384072	0.33156274037029654
153	535039	560810	MULTIPLY	10.093681000000002	30.153968	20.06	1.9874104402546495	2697899	0.1816627912058181
122	535039	560754	RTS-Sekindo	55.166435000000064	84.40948999999999	29.24	0.5300878151723941	1263570	0.1148447237203521
139	535039	561051	BrainJolt LLC-HB	17.80049	51.94475800000001	34.14	1.9181644999660128	-195377	-0.02806546429678542
119	535039	558511	RTS-sovrn	103.30046799999974	151.9395709999995	48.64	0.4708507516151802	-17475421	-0.13204782426509032
395	545979	558889	CrunchMind	523.5590020000001	241.592859	-281.97	-0.5385565751384026	-39536055	-0.49498041158059747
396	545979	558604	Digikulture	495.64841500000006	320.12748400000004	-175.52	-0.354123862173553	-6367146	-0.3555804778228586
398	545979	560602	RTS-Criteo	29.81732000000001	17.591867	-12.23	-0.41001179851173764	-19228499	-0.23248422290658818
397	545979	560343	Insticator 8	66.98231099999998	70.99702500000001	4.01	0.05993692872137582	-1669003	-0.35905100558840697
402	547259	560998	eBay	4315.213106	3227.2822829999996	-1087.93	-0.2521152017932346	-1452431	-0.01017615612440608
399	547259	508738	Underdog Media	8144.026507000019	7357.381009000033	-786.65	-0.09659171631180737	-17070369	-0.10442746229464006
401	547259	560602	RTS-Criteo	4599.53867800006	3984.4440999999856	-615.09	-0.13372962400384153	309038	0.001367982376852094
400	547259	558889	CrunchMind	6842.950025000002	6351.04391500001	-491.91	-0.07188509461604486	-4789680	-0.03437283960074234
410	547259	560288	RTS-SmartAd	1448.744318000002	1004.4837300000025	-444.26	-0.30665216938576384	-6302403	-0.03212356692345171
430	547259	558275	Wizzed Media	587.3569100000001	342.33399400000013	-245.02	-0.4171618854369142	-3116297	-0.31682509292125055
458	547259	560210	RTS-MediaNet	256.62014000000016	12.744865999999996	-243.88	-0.9503356751344614	-78930856	-0.9434180606315172
405	547259	558511	RTS-sovrn	2741.6551349999895	2520.9899530000066	-220.67	-0.08048611919966504	-99478174	-0.11176358866213304
408	547259	557776	District M	1753.7772160000009	1539.4987789999946	-214.28	-0.12218110433019003	-3916046	-0.016888311507474035
433	547259	558900	Chegg, Inc.	555.5775500000004	375.695204	-179.88	-0.32377540453173514	-16169838	-0.30039111984423494
412	547259	560031	RTS-Switch	1410.052329	1250.623240000001	-159.43	-0.11306607969157083	-21213763	-0.18885298430352793
439	547259	560927	Adsolut	462.7705459999999	307.791653	-154.98	-0.3348935975713544	28520	0.026409339201663825
411	547259	560530	OMG Studios	1415.5250150000004	1270.6518309999997	-144.87	-0.10234590167239162	-57552	-0.0028958446903023117
443	547259	561036	Slowplay.tv	400.47113199999995	258.40696699999995	-142.06	-0.3547425860398847	-909609	-0.24582811174474345
456	547259	560986	Batanga Media	264.2296489999998	126.09362400000005	-138.14	-0.5227877549805166	-2999596	-0.20553147353915788
446	547259	560733	SNT Media	378.44098700000023	252.66372600000022	-125.78	-0.3323563390875522	-1444159	-0.1846604941784005
455	547259	560137	Adpone	273.02922600000016	158.79649399999983	-114.23	-0.4183901250190713	-408426	-0.5565645636479095
418	547259	558894	MonetizeMoreAP	930.246531	826.5475659999989	-103.7	-0.11147471293284626	-5333677	-0.06722391364196087
452	547259	560026	BumpClick	292.460505	191.59763399999997	-100.86	-0.34487689542900857	-2851915	-0.18699961195768333
466	547259	560561	Resignation MediaAP	216.39307500000007	126.18662799999997	-90.21	-0.4168638344826888	-2291943	-0.154783788952863
